index,decimals,name,address
LIFE,18,LIFE Token,0xff18dbc487b4c2e3222d115952babfda8ba52f5f
AMB,18,Amber Token,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce
KRL,18,Kryll,0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0
IDXM,8,IDEX Membership,0xcc13fc627effd6e35d2d2706ea3c4d7396c610ea
YUP,18,Crowdholding,0xd9a12cde03a86e800496469858de8581d3a5353d
CSNO,8,BitDice,0x29d75277ac7f0335b2165d0895e8725cbf658d73
XBP,18,BlitzPredict,0x28dee01d53fed0edf5f6e310bf8ef9311513ae40
UTNP,18,Universa,0x9e3319636e2126e3c0bc9e3134aec5e1508a46c7
EOS,18,EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0
ORME,8,Ormeus,0x516e5436bafdc11083654de7bb9b95382d08d5de
MIRO,8,Mirocana,0x0168703872fa06741ecaa9dff7803168e83f7ae0
SIG,18,Spectiv Signal,0x6888a16ea9792c15a4dcf2f6c623d055c8ede792
ETHOS,8,Ethos,0x5af2be193a6abca9c8817001f45744777db30756
DFSOLD,18,Digital Fantasy Sports,0x574c44e81f272514e29c6adc411b8c53a856fbe5
GJC,18,Global Jobcoin,0x2ae965cd3d2b6d186e87d9586fc3bdbfc667cacc
TAU,18,Lamden,0xc27a2f05fa577a83ba0fdb4c38443c0718356501
AGI,8,Singularity.net,0x8eb24319393716668d768dcec29356ae9cffe285
MVL,18,Mass Vehicle Ledger,0xa849eaae994fb86afa73382e9bd88c2b6b18dc71
HXTT,4,Hextracoin Token,0xd0c65688fca8524bfda85b5e76cefb01157eee4e
TAY,18,TAYLOR,0xc4d557d795ce16c49624e48045b380f169e4113f
MANA,18,Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
SANTA,18,Santa,0x63011ea1d431f54297d90543689d69177b1846ef
DTRC,18,Datarius Credit,0xc20464e0c373486d2b3335576e83a218b1618a5e
SPF,18,SportyCo,0x85089389c14bd9c77fc2b8f0c3d1dc3363bf06ef
ETHCODE,0,Ethereum code,0x11f8dd7699147566cf193596083d45c8f592c4ba
ENTRC,8,Enter-Coin,0xaf55f3b7dc65c8f9577cf00c8c5ca7b6e8cc4433
WRC,6,Worldcore,0x72adadb447784dd7ab1f472467750fc485e4cb2d
FIT,18,FIT Token,0x8d51efc43c810b7982e599f67e59ee27c46bcc25
GZR,6,Gizer,0xe638dc39b6adbee8526b5c22380b4b45daf46d8e
BTCQ,8,Bitcoin Quick,0xd7aa94f17d60be06414973a45ffa77efd6443f0f
BTCP,8,Bitcoin Prime,0x3f0722a416e5102304ced3f3d1e22c787954b4e2
EXRN,0,EXRNchain,0xe469c4473af82217b30cf17b10bcdb6c8c796e75
PEXT,4,PEX-Token,0x55c2a0c171d920843560594de3d6eecc09efc098
LION,18,CoinLion,0x2167fb82309cf76513e83b25123f8b0559d6b48f
GMIT,18,GameMachine,0x3f24122a11651c505234f427878700530cba1d71
EXRT,8,EXRT,0xb20043f149817bff5322f1b928e89abfc65a9925
BTCM,18,BTCMoon,0xa9aad2dc3a8315caeee5f458b1d8edc31d8467bd
SCT,18,Soma Community Token,0x63b992e6246d88f07fc35a056d2c365e6d441a3d
GIM,8,Gimli,0xae4f56f072c34c0a65b3ae3e4db797d831439d93
BTCE,8,EthereumBitcoin,0x0886949c1b8c412860c4264ceb8083d1365e86cf
GOAL,18,GOAL Bonanza,0x7b69b78cc7fee48202c208609ae6d1f78ce42e13
SNG,8,SINERGIA,0xcfd6ae8bf13f42de14867351eaff7a8a3b9fbbe7
SND,0,SandCoin,0xf333b2ace992ac2bbd8798bf57bc65a06184afba
LOOM,18,Loom,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0
SNC,18,Suncontract,0xf4134146af2d511dd5ea8cdb1c4ac88c57d60404
UETL,8,UselessEthTokenLite,0xa5a283557653f36cf9aa0d5cc74b1e30422349f2
JNT,18,Jibrel Network Token,0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7
SNGLS,0,SingularDTV,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009
WEL,18,Welcome Coin,0x697b2658eb4085445625d6aeece29bd117c58c62
SNM,18,SONM,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63
XDAC,18,xDAC Coin,0x2a5c5212f399aa04a0ce28dbe48c1a17fca78df4
SNT,18,Status,0x744d70fdbe2ba4cf95131626614a1763df805b9e
PRPS,18,Purpose,0x7641b2ca9ddd58addf6e3381c1f994aac5f1a32f
