,address,decimals,index,name,old
13,0xdc2cb689c0cbbd7f2c0a5704412707387ce4a8bd,18.0,SIN,Sint Token,
25,0x351d5ea36941861d0c03fdfb24a8c2cb106e068b,18.0,FRES,FRESCO,
98,0x26db5439f651caf491a87d48799da81f191bdb6b,8.0,CBC,CashBetCoin,
212,0x6956983f8b3ce173b4ab84361aa0ad52f38d936f,8.0,CFTY,Crafty,
463,0xf832484f0c9f6b7cd5c945488899035467508a5d,18.0,CUZ,Cool Cousin,
494,0xaae81c0194d6459f320b70ca0cedf88e11a242ce,18.0,WT,WeToken,
548,0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96,18.0,PHI,PHI Token,
554,0x0f8c45b896784a1e408526b9300519ef8660209c,8.0,XMX,XMAX,
688,0x170b275ced089fffaebfe927f445a350ed9160dc,8.0,OWN,OwnData,
764,0x5d60d8d7ef6d37e16ebabc324de3be57f135e0bc,18.0,MYB,MyBit,
767,0x8d5682941ce456900b12d47ac06a88b47c764ce1,18.0,RMESH,RightMesh,
834,0xb4d0fdfc8497aef97d3c2892ae682ee06064a2bc,18.0,FMF,Formosa Financial,
