,index,baseVolume,percentChange,high,low,highestBid,quoteVolume
5,WT,5.483186124027592417,-65.45468719,0.0001,0.000031021,0.000033,97925.850350184393312477
2,CBC,3.872698689358601959,95.12439024,0.00951,0.00041,0.00045712,4751.01951789
9,MYB,12.943747995579351521,-75.38461538,0.0013,0.00012101,0.00012001,77359.096742629664021025
11,FMF,1.596573341049504948,-33.33333333,0.00015,0.0001,0.0000978,15410.818973333333333333
8,OWN,0.5541001997893288,1.66666667,0.00000122,0.000001,0.00000118,484699.62004302
1,FRES,0.453708659403300002,-4,0.000025,0.000024,0.00002000999999,18481.679709465333415
3,CFTY,0.15,0,0.000005,0.000005,0.00000102,30000
0,SIN,0,0,N/A,N/A,N/A,0
4,CUZ,0,0,N/A,N/A,N/A,0
6,PHI,0,0,N/A,N/A,N/A,0
7,XMX,0,0,N/A,N/A,N/A,0
10,RMESH,0,0,N/A,N/A,N/A,0
