,baseVolume,percentChange,high,low,highestBid,quoteVolume,index
11,7.655175192290351305,-32.90108565,0.00013264,0.00006401,0.000071992,86113.103929288200514075,THRT
4,5.154510409808280855,19.8,0.00000849,0.000003,0.00000478,899133.541535640631409252,BLO
14,4.179051826462449627,-98.92703402,0.00232999,0.000022,0.00003034,90460.3236566832794869,LIKE
6,381.742010886467903739,-6.10085234,0.00017729031886872,0.0001524,0.00021103,2303960.960939467547896151,UPP
8,2038.152998111007593774,-61.39333332,0.00015,0.000039,0.00008725,39490975.12066266,DAG
1,1.480397685152773968,84.56790123,0.00000598,0.000003,0.00000421,414510.822008309676177422,KYT
7,0.393437666888014888,483,0.0014575,0.00025,0.000025001,1242.111989598550691425,MDT
9,0.120499999999999999,0,0.00001205,0.00001205,0.00001003001,10000,AUTO
12,0.059999,0,0.119998,0.119998,0.00200002,0.5,PSTOLD
0,0,0,N/A,N/A,0.0000311000311,0,TMT
2,0,0,N/A,N/A,0.000010000001,0,TEN
3,0,0,N/A,N/A,0.00000031,0,HUR
5,0,0,N/A,N/A,0.00086874,0,FTM
10,0,0,N/A,N/A,0.021,0,DGX
13,0,0,N/A,N/A,0.000013993,0,TGAME
